time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),weather_code (wmo code)
2024-01-01T00:00,1.8,0,7.3,88,3
2024-01-01T01:00,2.3,0,5.4,88,0
2024-01-01T02:00,0.9,0,6.6,91,1
2024-01-01T03:00,0.9,0,6,92,1
2024-01-01T04:00,0.6,0,5.8,92,1
2024-01-01T05:00,1.1,0.6,7.3,91,53
2024-01-01T06:00,1.9,0.2,4.7,90,51
2024-01-01T07:00,1.3,0,8.9,93,1
2024-01-01T08:00,1.5,0,10,91,1
2024-01-01T09:00,3.2,0,8.7,89,3
2024-01-01T10:00,4.7,0,11.2,87,3
2024-01-01T11:00,5.6,0,13.9,74,3
2024-01-01T12:00,5.2,0,14.8,68,3
2024-01-01T13:00,5.2,0,12.8,63,3
2024-01-01T14:00,6,0,10.2,60,3
2024-01-01T15:00,6,0,11.3,61,3
2024-01-01T16:00,5.6,0,12.7,64,3
2024-01-01T17:00,5.1,0,12.7,68,3
2024-01-01T18:00,4.4,0.1,14.3,73,51
2024-01-01T19:00,3.7,0.2,14.6,78,51
2024-01-01T20:00,3.3,0.2,13.6,82,51
2024-01-01T21:00,2.7,0.2,14.8,90,51
2024-01-01T22:00,2.8,0.3,16.3,93,51
2024-01-01T23:00,3,0.2,15.6,92,51
2024-01-02T00:00,2.7,0,15.8,91,1
2024-01-02T01:00,2,0,15.1,92,1
2024-01-02T02:00,1.9,0,15.8,91,1
2024-01-02T03:00,2.2,0,17.1,88,3
2024-01-02T04:00,2.1,0,18.2,83,3
2024-01-02T05:00,1.6,0,17.4,78,3
2024-01-02T06:00,1.3,0,17.1,74,1
2024-01-02T07:00,0.3,0,15.5,76,0
2024-01-02T08:00,-0.3,0,14.1,77,0
2024-01-02T09:00,1.5,0,13.3,70,0
2024-01-02T10:00,2.5,0,12.1,68,2
2024-01-02T11:00,3.5,0,17.9,60,3
2024-01-02T12:00,4,0,16.4,55,0
2024-01-02T13:00,4.7,0,16.3,53,0
2024-01-02T14:00,5.4,0,15.6,53,0
2024-01-02T15:00,6,0,13.9,52,0
2024-01-02T16:00,6.4,0,13,52,0
2024-01-02T17:00,6,0,8.9,55,0
2024-01-02T18:00,3.1,0,6.8,67,0
2024-01-02T19:00,2.3,0,8,71,0
2024-01-02T20:00,1.6,0,7.9,74,0
2024-01-02T21:00,0.7,0,8,78,0
2024-01-02T22:00,0.3,0,8.1,79,0
2024-01-02T23:00,-0.1,0,8.9,79,0
2024-01-03T00:00,-0.4,0,9.2,78,0
2024-01-03T01:00,-0.5,0,10.5,76,3
2024-01-03T02:00,-0.6,0,11.7,74,3
2024-01-03T03:00,-0.7,0,11.5,74,1
2024-01-03T04:00,-0.7,0,12.5,74,2
2024-01-03T05:00,-0.7,0,11.2,76,3
2024-01-03T06:00,-1,0,10.5,78,2
2024-01-03T07:00,-1.2,0,9.7,80,3
2024-01-03T08:00,-1.2,0,8.7,81,3
2024-01-03T09:00,-0.9,0,6.4,82,2
2024-01-03T10:00,1.6,0,7.4,76,1
2024-01-03T11:00,4,0,7.4,66,0
2024-01-03T12:00,5.4,0,8,60,0
2024-01-03T13:00,6.5,0,7.8,56,1
2024-01-03T14:00,7.2,0,5.5,54,3
2024-01-03T15:00,7.6,0,4.2,53,3
2024-01-03T16:00,7.7,0,6.1,53,3
2024-01-03T17:00,6.8,0,4.2,62,3
2024-01-03T18:00,3.7,0,8.5,73,3
2024-01-03T19:00,4.4,0,7.2,68,3
2024-01-03T20:00,2.8,0,6.5,76,3
2024-01-03T21:00,2.4,0,5.9,74,3
2024-01-03T22:00,2.6,0,5.9,71,3
2024-01-03T23:00,2.8,0,5.9,70,3
2024-01-04T00:00,2.7,0,4.8,74,3
2024-01-04T01:00,2.3,0,5.6,81,3
2024-01-04T02:00,2.5,0,4,82,3
2024-01-04T03:00,2.6,0.1,3.9,81,51
2024-01-04T04:00,2.6,0.1,5.8,82,51
2024-01-04T05:00,2.7,0.1,10.5,80,51
2024-01-04T06:00,2.9,0,13.7,72,3
2024-01-04T07:00,2.7,0,14.8,69,0
2024-01-04T08:00,1.1,0,14.5,76,0
